,"cegodnia.txt","ferghana.txt","gazieta.txt","kommersant.txt","literaturnaia.txt","novaiaGazieta.txt","novIsvestia.txt"
"a",2,0,0,0,0,0,0
"alert",1,0,0,0,0,0,0
"alexander",1,0,0,0,0,0,0
"allianz",0,0,0,1,0,0,0
"america",0,0,1,0,0,0,0
"and",0,0,0,0,0,0,2
"ania-virginia",0,0,0,0,0,0,1
"antioch",0,0,0,0,0,1,0
"ap",0,0,0,2,0,0,0
"asia",0,0,1,0,0,0,0
"ayme",1,0,0,0,0,0,0
"b",1,0,0,0,0,0,0
"baldo",1,0,0,0,0,0,0
"bank",0,0,1,1,0,0,0
"barclays",0,0,1,0,0,0,0
"beet",1,0,0,0,0,0,0
"berkshire",0,0,0,1,0,0,0
"bhatt",1,0,0,0,0,0,0
"bk.ru",0,0,0,0,3,0,0
"bloomberg",0,0,4,0,0,0,0
"bnp",0,0,0,1,0,0,0
"board",1,0,0,0,0,0,0
"bob",1,0,0,0,0,0,0
"bogot",1,0,0,0,0,0,0
"brent",0,0,0,1,0,5,0
"brothers",0,0,4,0,0,1,0
"bushmaster",0,0,0,0,0,0,1
"cac",0,0,0,1,0,0,0
"capital",0,0,2,0,0,0,0
"carry",0,0,0,1,0,0,0
"cd",1,0,0,0,0,0,0
"ceir",0,0,0,0,0,0,1
"charles",1,0,0,0,0,0,0
"charleston",1,0,0,0,0,0,0
"chicago",0,0,0,0,0,1,0
"citigroup",0,0,1,0,0,0,0
"coldplay",0,0,0,0,0,0,1
"colombia",1,0,0,0,0,0,0
"comstock",0,0,1,0,0,0,0
"cо",0,0,1,0,0,0,0
"daily",0,0,0,0,0,1,0
"dax",0,0,0,1,0,0,0
"de",1,0,0,0,0,0,0
"del",1,0,0,0,0,0,0
"deutsche",0,0,0,1,0,0,0
"dow",0,0,1,2,0,0,0
"drewfus",1,0,0,0,0,0,0
"dvd",1,0,0,0,0,0,0
"east",0,0,1,0,0,0,0
"economics",0,0,2,0,0,0,0
"ecuador",1,0,0,0,0,0,0
"email",0,0,0,0,3,0,0
"fast",0,0,0,0,0,1,0
"federal",1,0,0,0,0,0,0
"financial",0,0,1,0,0,0,0
"finanse",0,0,0,0,0,0,1
"fiorini",0,0,1,0,0,0,0
"food",0,0,0,0,0,1,0
"forbes",0,0,0,0,1,0,0
"frankfurt",0,0,0,0,0,0,4
"freedom",0,0,0,0,0,0,2
"ftse",0,0,0,2,0,0,0
"global",1,0,0,0,0,0,0
"glock",0,0,0,0,0,0,1
"goldman",0,0,0,2,0,0,0
"government.ru",1,0,0,0,0,0,0
"governors",1,0,0,0,0,0,0
"group",0,0,0,0,0,0,1
"h",2,0,0,0,0,0,0
"hamma",0,0,0,0,0,0,1
"harrington",0,0,0,0,0,0,1
"hathaway",0,0,0,1,0,0,0
"herald",1,0,0,0,0,0,1
"holmlund",1,0,0,0,0,0,0
"hoover",0,0,0,0,0,0,1
"hoyenski",1,0,0,0,0,0,0
"hsbc",0,0,1,0,0,0,0
"i",0,0,1,0,0,1,0
"ia",0,0,0,2,0,0,0
"icq",0,1,0,0,0,0,0
"ict",0,0,0,0,0,0,1
"ifema",0,0,0,0,0,0,2
"ii",0,0,0,0,2,5,0
"iii",0,0,0,0,0,5,0
"images",0,0,1,0,0,0,0
"inc",0,0,1,0,0,0,0
"ing",0,0,0,1,0,0,0
"initiative",1,0,0,0,0,0,0
"international",1,0,0,0,0,0,1
"iphone",0,0,0,5,0,0,0
"ipo",0,0,0,0,0,0,1
"ism",0,0,2,0,0,0,0
"iv",0,0,1,0,0,0,0
"john",1,0,0,0,0,0,4
"jones",0,0,1,2,0,0,0
"journal",1,0,0,0,0,0,0
"jpmorgan",0,0,1,0,0,0,0
"katharina",0,0,0,0,0,0,1
"kazakhstan",0,1,0,0,0,0,0
"kleinbichler",0,0,0,0,0,0,1
"l'officiel",0,0,0,0,0,0,1
"la",1,0,0,0,0,0,0
"laissez-faire",1,0,0,0,0,0,0
"ledbury",0,0,0,0,0,0,1
"lehman",0,0,4,0,0,1,0
"lgz.ru",0,0,0,0,3,0,0
"libor",0,0,0,1,0,0,0
"litgazeta",0,0,0,0,3,0,0
"livejournal",9,0,0,0,0,0,0
"livejournal.com",0,0,0,0,1,0,0
"lj",0,0,0,0,3,0,0
"logan",4,0,0,0,0,0,0
